Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-28 00:00:00-04:00,1932.5999755859375,1939.5999755859375,1932.5999755859375,1939.5999755859375,7,0.0,0.0
2022-03-29 00:00:00-04:00,1893.5,1912.0,1893.5,1912.0,128051,0.0,0.0
2022-03-30 00:00:00-04:00,1918.4000244140625,1937.0,1914.5,1933.5,17765,0.0,0.0
2022-03-31 00:00:00-04:00,1933.5,1949.9000244140625,1919.0999755859375,1949.199951171875,3617,0.0,0.0
2022-04-01 00:00:00-04:00,1935.0,1938.0,1917.0,1919.0999755859375,1016,0.0,0.0
2022-04-04 00:00:00-04:00,1921.199951171875,1936.0999755859375,1915.5999755859375,1929.199951171875,371,0.0,0.0
2022-04-05 00:00:00-04:00,1927.0999755859375,1943.5,1918.4000244140625,1922.9000244140625,412,0.0,0.0
2022-04-06 00:00:00-04:00,1916.699951171875,1931.800048828125,1916.699951171875,1918.4000244140625,138,0.0,0.0
2022-04-07 00:00:00-04:00,1919.5,1934.800048828125,1919.5,1933.800048828125,311,0.0,0.0
2022-04-08 00:00:00-04:00,1928.800048828125,1947.699951171875,1928.800048828125,1941.5999755859375,153,0.0,0.0
2022-04-11 00:00:00-04:00,1946.5999755859375,1968.4000244140625,1941.800048828125,1944.300048828125,163,0.0,0.0
2022-04-12 00:00:00-04:00,1952.5,1977.0999755859375,1950.5999755859375,1972.0999755859375,246,0.0,0.0
2022-04-13 00:00:00-04:00,1969.5,1981.0,1969.5,1981.0,204,0.0,0.0
2022-04-14 00:00:00-04:00,1977.199951171875,1978.699951171875,1963.0,1970.9000244140625,101,0.0,0.0
2022-04-18 00:00:00-04:00,1973.4000244140625,1997.0999755859375,1972.800048828125,1982.9000244140625,196,0.0,0.0
2022-04-19 00:00:00-04:00,1973.800048828125,1978.300048828125,1945.699951171875,1955.699951171875,130,0.0,0.0
2022-04-20 00:00:00-04:00,1945.5,1953.5999755859375,1945.5,1952.300048828125,621,0.0,0.0
2022-04-21 00:00:00-04:00,1942.5,1944.9000244140625,1942.5,1944.9000244140625,4,0.0,0.0
2022-04-22 00:00:00-04:00,1949.5999755859375,1950.4000244140625,1930.199951171875,1931.0,178,0.0,0.0
2022-04-25 00:00:00-04:00,1925.0,1925.0,1889.300048828125,1893.199951171875,748,0.0,0.0
2022-04-26 00:00:00-04:00,1900.5,1909.0999755859375,1894.0,1901.4000244140625,302,0.0,0.0
2022-04-27 00:00:00-04:00,1897.800048828125,1900.5999755859375,1882.199951171875,1885.9000244140625,1786,0.0,0.0
2022-04-28 00:00:00-04:00,1883.800048828125,1893.0,1872.9000244140625,1888.699951171875,513,0.0,0.0
2022-04-29 00:00:00-04:00,1902.699951171875,1918.199951171875,1902.4000244140625,1909.300048828125,132,0.0,0.0
2022-05-02 00:00:00-04:00,1896.699951171875,1896.800048828125,1853.0,1861.800048828125,385,0.0,0.0
2022-05-03 00:00:00-04:00,1868.800048828125,1868.800048828125,1868.800048828125,1868.800048828125,466,0.0,0.0
2022-05-04 00:00:00-04:00,1867.0,1867.0,1867.0,1867.0,1,0.0,0.0
2022-05-05 00:00:00-04:00,1897.0,1904.300048828125,1874.0,1874.0,80,0.0,0.0
2022-05-06 00:00:00-04:00,1874.699951171875,1890.300048828125,1871.5,1881.199951171875,214,0.0,0.0
2022-05-09 00:00:00-04:00,1866.5999755859375,1867.5,1854.0,1857.0999755859375,304,0.0,0.0
2022-05-10 00:00:00-04:00,1839.9000244140625,1839.9000244140625,1839.9000244140625,1839.9000244140625,1540,0.0,0.0
2022-05-11 00:00:00-04:00,1841.5,1852.5999755859375,1841.0,1852.5999755859375,892,0.0,0.0
2022-05-12 00:00:00-04:00,1849.800048828125,1851.9000244140625,1822.199951171875,1823.800048828125,153,0.0,0.0
2022-05-13 00:00:00-04:00,1825.0,1825.0,1807.4000244140625,1807.4000244140625,335,0.0,0.0
2022-05-16 00:00:00-04:00,1790.5,1813.5,1787.0,1813.5,34,0.0,0.0
2022-05-17 00:00:00-04:00,1824.9000244140625,1828.5999755859375,1816.699951171875,1818.199951171875,121,0.0,0.0
2022-05-18 00:00:00-04:00,1815.0,1819.699951171875,1805.0,1815.9000244140625,311,0.0,0.0
2022-05-19 00:00:00-04:00,1810.9000244140625,1841.199951171875,1810.699951171875,1841.199951171875,138,0.0,0.0
2022-05-20 00:00:00-04:00,1839.0999755859375,1841.800048828125,1836.300048828125,1841.800048828125,110,0.0,0.0
2022-05-23 00:00:00-04:00,1846.300048828125,1863.0,1845.800048828125,1847.800048828125,216,0.0,0.0
2022-05-24 00:00:00-04:00,1852.5,1867.0,1852.5,1865.0999755859375,33,0.0,0.0
2022-05-25 00:00:00-04:00,1846.199951171875,1846.199951171875,1846.199951171875,1846.199951171875,0,0.0,0.0
2022-05-26 00:00:00-04:00,1840.4000244140625,1847.4000244140625,1840.4000244140625,1847.4000244140625,123355,0.0,0.0
2022-05-27 00:00:00-04:00,1848.300048828125,1860.699951171875,1845.9000244140625,1851.300048828125,30091,0.0,0.0
2022-05-31 00:00:00-04:00,1850.300048828125,1862.0999755859375,1832.800048828125,1842.699951171875,4073,0.0,0.0
2022-06-01 00:00:00-04:00,1831.0,1847.9000244140625,1825.300048828125,1843.300048828125,1623,0.0,0.0
2022-06-02 00:00:00-04:00,1845.4000244140625,1868.699951171875,1842.0999755859375,1866.5,551,0.0,0.0
2022-06-03 00:00:00-04:00,1867.5999755859375,1871.800048828125,1845.4000244140625,1845.4000244140625,53,0.0,0.0
2022-06-06 00:00:00-04:00,1849.0,1854.0999755859375,1839.199951171875,1839.199951171875,142,0.0,0.0
2022-06-07 00:00:00-04:00,1836.9000244140625,1851.5999755859375,1835.0,1847.5,1168,0.0,0.0
2022-06-08 00:00:00-04:00,1844.800048828125,1855.0,1844.4000244140625,1851.9000244140625,218,0.0,0.0
2022-06-09 00:00:00-04:00,1846.0999755859375,1850.0999755859375,1837.9000244140625,1848.800048828125,159,0.0,0.0
2022-06-10 00:00:00-04:00,1842.699951171875,1875.5999755859375,1823.9000244140625,1871.5,1490,0.0,0.0
2022-06-13 00:00:00-04:00,1873.800048828125,1873.800048828125,1818.699951171875,1828.0,127,0.0,0.0
2022-06-14 00:00:00-04:00,1825.0,1825.5,1805.300048828125,1809.5,536,0.0,0.0
2022-06-15 00:00:00-04:00,1814.0999755859375,1839.0,1810.800048828125,1815.300048828125,108,0.0,0.0
2022-06-16 00:00:00-04:00,1819.199951171875,1850.5999755859375,1814.9000244140625,1845.699951171875,136,0.0,0.0
2022-06-17 00:00:00-04:00,1853.699951171875,1853.699951171875,1833.5999755859375,1835.5999755859375,170,0.0,0.0
2022-06-21 00:00:00-04:00,1835.300048828125,1838.5999755859375,1830.0999755859375,1834.5999755859375,216,0.0,0.0
2022-06-22 00:00:00-04:00,1829.5,1842.699951171875,1821.5999755859375,1834.300048828125,115,0.0,0.0
2022-06-23 00:00:00-04:00,1835.5,1841.199951171875,1825.699951171875,1825.699951171875,9,0.0,0.0
2022-06-24 00:00:00-04:00,1820.5,1826.5,1815.800048828125,1826.5,61,0.0,0.0
2022-06-27 00:00:00-04:00,1830.5,1830.699951171875,1819.9000244140625,1820.9000244140625,77,0.0,0.0
2022-06-28 00:00:00-04:00,1824.199951171875,1826.0,1817.5,1817.5,391,0.0,0.0
2022-06-29 00:00:00-04:00,1818.300048828125,1830.300048828125,1812.800048828125,1813.699951171875,173,0.0,0.0
2022-06-30 00:00:00-04:00,1809.5999755859375,1817.300048828125,1801.0,1804.0999755859375,328,0.0,0.0
2022-07-01 00:00:00-04:00,1795.5,1806.0999755859375,1791.5999755859375,1798.9000244140625,77,0.0,0.0
2022-07-05 00:00:00-04:00,1805.4000244140625,1805.4000244140625,1761.800048828125,1761.800048828125,64,0.0,0.0
2022-07-06 00:00:00-04:00,1762.5,1768.0,1734.0,1734.9000244140625,1729,0.0,0.0
2022-07-07 00:00:00-04:00,1745.199951171875,1745.199951171875,1737.0,1737.9000244140625,1869,0.0,0.0
2022-07-08 00:00:00-04:00,1738.0999755859375,1749.300048828125,1732.0999755859375,1740.5999755859375,370,0.0,0.0
